model,epoch,phase,train_loss,train_acc,val_loss,val_accuracy,val_precision_tumor,val_recall_tumor,val_f1_tumor,val_roc_auc_tumor,val_selection_score,lr
vgg16,1,head_only,0.48137274864694296,0.768281101614435,0.3325022761235385,0.8626292466765141,0.8892128279883382,0.8472222222222222,0.8677098150782361,0.9362162635821942,0.8567039333899709,0.001
vgg16,2,head_only,0.4030822288880585,0.8160810383032605,0.32747836712544215,0.8626292466765141,0.9320388349514563,0.8,0.8609865470852018,0.9449526813880125,0.8307396784812977,0.001
vgg16,3,head_only,0.3917603022446924,0.8319088319088319,0.3043492766567664,0.8670605612998523,0.8461538461538461,0.9166666666666666,0.88,0.9493690851735016,0.8963924175283111,0.001
vgg16,4,fine_tune,0.2707443013150468,0.8869895536562203,0.1990069185976528,0.9276218611521418,0.9641791044776119,0.8972222222222223,0.9294964028776979,0.9789256922537679,0.9130781312911267,1e-05
