model,best_epoch,training_minutes,best_threshold_from_val,val_loss,val_accuracy_0_50,val_recall_tumor_0_50,val_f1_tumor_0_50,val_accuracy_tuned,val_precision_tumor_tuned,val_recall_tumor_tuned,val_f1_tumor_tuned,val_roc_auc_tumor,val_selection_score_tuned,test_loss,test_accuracy,test_precision_tumor,test_recall_tumor,test_f1_tumor,test_roc_auc_tumor,test_selection_score,confusion_matrix,checkpoint_path,classification_report_path
vgg16,4,47.01835174560547,0.18,0.1990069185976528,0.9276218611521418,0.8972222222222223,0.9294964028776979,0.9246676514032496,0.9012987012987013,0.9638888888888889,0.9315436241610738,0.9789256922537679,0.9466848606113077,0.2220579260042635,0.915929203539823,0.9047619047619048,0.9571788413098237,0.9302325581395349,0.9756805937771722,0.9415601965347224,"[[380, 17], [40, 241]]",C:\Users\purti.balani\Downloads\CAPSTONE\models\vgg16_best.pth,C:\Users\purti.balani\Downloads\CAPSTONE\outputs\transfer_learning\reports\vgg16_classification_report.txt
efficientnet_b0,4,14.825386865933735,0.21,0.22341530318846556,0.9098966026587888,0.8861111111111111,0.9127324749642346,0.9113737075332349,0.8731343283582089,0.975,0.9212598425196851,0.9766912022432527,0.9466470010118749,0.21689124941650043,0.9144542772861357,0.8878718535469108,0.9773299748110831,0.9304556354916067,0.9761019030630081,0.9514926014205242,"[[388, 9], [49, 232]]",C:\Users\purti.balani\Downloads\CAPSTONE\models\efficientnet_b0_best.pth,C:\Users\purti.balani\Downloads\CAPSTONE\outputs\transfer_learning\reports\efficientnet_b0_classification_report.txt
mobilenet_v2,1,9.623717800776165,0.37,0.3896193238005504,0.8478581979320532,0.9277777777777778,0.8664072632944229,0.793205317577548,0.7291666666666666,0.9722222222222222,0.8333333333333334,0.930012267788293,0.89675857541441,0.3633487647437768,0.803834808259587,0.7578125,0.9773299748110831,0.8536853685368537,0.943123246412148,0.9080300876323784,"[[388, 9], [124, 157]]",C:\Users\purti.balani\Downloads\CAPSTONE\models\mobilenet_v2_best.pth,C:\Users\purti.balani\Downloads\CAPSTONE\outputs\transfer_learning\reports\mobilenet_v2_classification_report.txt
